date,capital,trade_pnl,peak,drawdown,drawdown_pct
2021-11-03,48925.94564134198,-1074.0543586580166,48925.94564134198,0.0,0.0
2021-11-15,50817.34840811024,1891.402766768263,50817.34840811024,0.0,0.0
2021-11-25,48755.447197733556,-2061.901210376685,50817.34840811024,-2061.9012103766872,-4.057475006011168
2022-08-29,45935.70765587217,-2819.7395418613864,50817.34840811024,-4881.640752238076,-9.606248466633858
2022-09-19,43361.50386164846,-2574.2037942237084,50817.34840811024,-7455.8445464617835,-14.671848846941927
2022-11-30,43027.928302030916,-333.575559617546,50817.34840811024,-7789.4201060793275,-15.328269479003684
2022-12-19,44912.07572590037,1884.1474238694602,50817.34840811024,-5905.27268220987,-11.620584046977573
2023-01-09,47637.36931868932,2725.2935927889503,50817.34840811024,-3179.979089420922,-6.257664339120477
2023-01-18,46957.805481267606,-679.5638374217149,50817.34840811024,-3859.542926842638,-7.594931746235447
2023-02-08,46416.50704457482,-541.2984366927844,50817.34840811024,-4400.841363535423,-8.660116085145967
2023-02-28,43904.691314764495,-2511.8157298103247,50817.34840811024,-6912.657093345748,-13.602947241227007
2023-04-13,42260.60974875221,-1644.0815660122807,50817.34840811024,-8556.73865935803,-16.838223416616536
2023-04-25,43273.824997395626,1013.2152486434115,50817.34840811024,-7543.523410714617,-14.844386114232403
2023-05-16,44389.759222174485,1115.9342247788593,50817.34840811024,-6427.589185935758,-12.648415132399826
2023-06-05,44188.83163678823,-200.92758538625333,50817.34840811024,-6628.516771322014,-13.0438068473957
2023-06-14,45024.235024509326,835.4033877210974,50817.34840811024,-5793.113383600918,-11.399873399684033
2023-07-05,45526.19147873469,501.95645422536256,50817.34840811024,-5291.156929375553,-10.412107469446607
2023-08-14,46527.69105623819,1001.4995775034982,50817.34840811024,-4289.657351872054,-8.441324638629595
2023-09-04,45891.24859124446,-636.4424649937291,50817.34840811024,-4926.0998168657825,-9.6937364328903
2023-09-13,45984.75310188275,93.50451063828658,50817.34840811024,-4832.595306227493,-9.509735272720823
2023-10-05,47751.72212709958,1766.969025216826,50817.34840811024,-3065.6262810106637,-6.032637233235495
2023-10-16,47527.787002049525,-223.93512505005688,50817.34840811024,-3289.5614060607186,-6.4733039190524115
2023-10-26,45797.61958952094,-1730.167412528585,50817.34840811024,-5019.728818589305,-9.877982570590355
2023-11-06,45770.167978564845,-27.451610956092054,50817.34840811024,-5047.1804295453985,-9.932002726730008
2023-11-16,45942.0574498141,171.88947124925136,50817.34840811024,-4875.290958296144,-9.593753139465393
2023-11-28,44507.64362931243,-1434.4138205016748,50817.34840811024,-6309.704778797815,-12.416438433829837
2023-12-28,44206.0726229711,-301.5710063413252,50817.34840811024,-6611.275785139143,-13.009879484550222
2024-01-03,40231.82556232907,-3974.2470606420325,50817.34840811024,-10585.522845781175,-20.830529685983713
2024-01-17,43838.37845804611,3606.5528957170386,50817.34840811024,-6978.969950064136,-13.733439797009009
2024-02-28,43906.61527618496,68.23681813885543,50817.34840811024,-6910.733131925284,-13.599161208541844
2024-03-20,46242.236321813376,2335.6210456284175,50817.34840811024,-4575.112086296867,-9.003051575132357
2024-04-24,45738.28014251328,-503.95617930009706,50817.34840811024,-5079.068265596965,-9.994752628191765
2024-05-15,47501.183753424215,1762.9036109109365,50817.34840811024,-3316.1646546860284,-6.525654640722619
2024-06-04,50728.652127971465,3227.468374547253,50817.34840811024,-88.69628013877809,-0.17453937074100176
2024-07-12,53208.18644355589,2479.5343155844207,53208.18644355589,0.0,0.0
2024-08-05,52504.305893925215,-703.8805496306722,53208.18644355589,-703.8805496306741,-1.322880174420833
2024-09-16,52430.73383056547,-73.57206335974666,53208.18644355589,-777.4526129904189,-1.4611522492223132
2024-09-25,53031.017537688924,600.283707123451,53208.18644355589,-177.16890586696536,-0.33297302108747684
2024-10-16,54393.65743734177,1362.6398996528408,54393.65743734177,0.0,0.0
2024-10-31,49617.589760478244,-4776.067676863522,54393.65743734177,-4776.067676863524,-8.780559906943687
2024-11-27,51648.49706644022,2030.9073059619777,54393.65743734177,-2745.160370901547,-5.046839098958931
2024-12-17,47524.15846692507,-4124.338599515146,54393.65743734177,-6869.498970416695,-12.629227917482744
2025-01-06,51109.78995706141,3585.631490136339,54393.65743734177,-3283.867480280358,-6.037224990915855
2025-01-27,48274.27393899208,-2835.5160180693274,54393.65743734177,-6119.383498349685,-11.250178396992053
2025-02-04,47261.74857417599,-1012.5253648160907,54393.65743734177,-7131.90886316578,-13.11165529065831
2025-02-24,44049.166787408234,-3212.5817867677542,54393.65743734177,-10344.490649933534,-19.01782512391223
2025-03-18,44211.0589243636,161.89213695536608,54393.65743734177,-10182.59851297817,-18.720194582811263
2025-04-08,43833.65820616434,-377.40071819925305,54393.65743734177,-10559.999231177426,-19.414026797778604
2025-07-01,44020.99248457412,187.3342784097801,54393.65743734177,-10372.664952767649,-19.06962216084906
2025-07-21,44876.29965961282,855.3071750387048,54393.65743734177,-9517.357777728947,-17.49718299177137
2025-07-25,41882.44070298917,-2993.858956623648,54393.65743734177,-12511.216734352594,-23.001241916421534
2025-08-20,42299.617450259524,417.1767472703479,54393.65743734177,-12094.039987082244,-22.234283475079522
2025-09-10,41158.05473879473,-1141.5627114647962,54393.65743734177,-13235.602698547038,-24.33298903239529
2025-09-25,38003.629872761936,-3154.4248660327953,54393.65743734177,-16390.027564579832,-30.132240295589906
2025-10-21,38236.86999902741,233.24012626547486,54393.65743734177,-16156.787438314357,-29.70344006914043
2025-11-12,38145.76463944314,-91.1053595842688,54393.65743734177,-16247.892797898625,-29.870932684780797
2025-12-02,40277.81905104248,2132.0544115993416,54393.65743734177,-14115.838386299285,-25.951258016727195
2025-12-22,42204.0887700701,1926.2697190276142,54393.65743734177,-12189.56866727167,-22.409908142899422
2026-01-01,44098.76100331902,1894.672233248925,54393.65743734177,-10294.896434022747,-18.92664865546475
2026-01-12,41868.194849899286,-2230.5661534197325,54393.65743734177,-12525.462587442482,-23.027432199923425
2026-01-22,40048.5649909471,-1819.629858952184,54393.65743734177,-14345.092446394665,-26.372730061256412
2026-02-03,42900.50853152711,2851.943540580007,54393.65743734177,-11493.148905814654,-21.129575482314408
2026-02-23,45318.503953318446,2417.9954217913332,54393.65743734177,-9075.153484023322,-16.68421266666496
