index,pattern,option_type,entry_date,exit_date,strike,entry_premium,exit_premium,quantity,lots,pnl,pnl_pct,exit_reason,days_held,index_move
NIFTY,MACD Crossover,CE,2025-11-17,2025-11-20,26000,520.2689843750001,287.934953125,150,3,-34850.10468750001,-44.656521573951466,TIME_STOP,3,0.6869568520970898
SENSEX,MACD Crossover,CE,2025-11-17,2025-11-20,85000,1699.0190625,941.2777500000002,10,1,-7577.413124999998,-44.5987528465414,TIME_STOP,3,0.8024943069171715
BANKNIFTY,MACD Crossover,CE,2025-11-18,2025-11-21,58900,1177.9850000000001,647.8917500000001,15,1,-7951.39875,-44.99999999999999,TIME_STOP,3,-0.05356737352343196
SENSEX,Breakout,CE,2025-11-20,2025-11-25,85600,1712.65359375,941.9594765625001,10,1,-7706.941171875,-44.99999999999999,TIME_STOP,3,-1.221113106370113
NIFTY,MACD Crossover,CE,2025-12-23,2025-12-29,26200,523.5430078125,287.948654296875,50,1,-11779.71767578125,-45.0,TIME_STOP,3,-0.8979234857212736
NIFTY,MACD Cross Down,PE,2025-12-29,2026-01-01,25950,518.8419921875,285.363095703125,50,1,-11673.944824218748,-44.99999999999999,TIME_STOP,3,0.7881057237214334
NIFTY,MACD Crossover,CE,2026-01-01,2026-01-06,26150,522.931015625,287.93354296875,50,1,-11749.873632812501,-44.93852260328913,TIME_STOP,3,0.12295479342175422
BANKNIFTY,MACD Crossover,CE,2026-01-02,2026-01-07,60200,1203.018984375,661.66044140625,15,1,-8120.378144531249,-44.99999999999999,TIME_STOP,3,-0.2661598168098319
BANKNIFTY,Breakout,CE,2026-01-02,2026-01-07,60200,1203.018984375,661.66044140625,15,1,-8120.378144531249,-44.99999999999999,TIME_STOP,3,-0.2661598168098319
SENSEX,MACD Crossover,CE,2026-01-02,2026-01-07,85800,1715.24015625,943.3820859375,10,1,-7718.580703124999,-44.99999999999999,TIME_STOP,3,-0.933825137642442
BANKNIFTY,MACD Crossover,CE,2026-02-04,2026-02-09,60200,1204.76296875,666.9316640625001,15,1,-8067.469570312499,-44.64208467874191,TIME_STOP,3,0.7158306425161692
NIFTY,MACD Cross Down,PE,2026-02-24,2026-02-27,25400,508.4930078125,282.13115429687497,50,1,-11318.092675781252,-44.51621753648439,TIME_STOP,3,-0.9675649270312453
SENSEX,MACD Cross Down,PE,2026-02-24,2026-02-27,82200,1644.5184375000001,913.8724843750002,10,1,-7306.459531249999,-44.42917369997561,TIME_STOP,3,-1.1416526000487603
BANKNIFTY,MACD Cross Down,PE,2026-02-27,2026-03-05,60500,1210.58,680.550484375,15,1,-7950.442734374999,-43.783105257397274,TIME_STOP,3,-2.433789485205439
BANKNIFTY,MACD Cross Down,PE,2026-05-04,2026-05-07,54900,1097.57,603.6635,15,1,-7408.597499999999,-44.99999999999999,TIME_STOP,3,2.1299751952039503
BANKNIFTY,MACD Cross Down,PE,2026-05-08,2026-05-13,55300,1106.211015625,626.96008203125,15,1,-7188.764003906252,-43.32364502110633,TIME_STOP,3,-3.3527099577873547
NIFTY,MACD Cross Down,PE,2026-05-11,2026-05-14,23800,476.31699218750003,263.2368457031251,50,1,-10654.007324218748,-44.73494542065317,TIME_STOP,3,-0.5301091586936385
SENSEX,MACD Cross Down,PE,2026-05-11,2026-05-14,76000,1520.305625,842.33371875,10,1,-6779.719062499999,-44.594448320218504,TIME_STOP,3,-0.8111033595629826
BANKNIFTY,MACD Crossover,CE,2026-05-25,2026-05-29,55300,1105.87296875,608.2301328125,15,1,-7464.642539062499,-45.0,TIME_STOP,3,-1.9069988118832026
SENSEX,MACD Cross Down,PE,2026-05-29,2026-06-03,74800,1495.51484375,826.8288671874999,10,1,-6686.859765625,-44.712760916887426,TIME_STOP,3,-0.5744781662251556
NIFTY,MACD Cross Down,PE,2026-06-01,2026-06-04,23400,467.6519921875,257.208595703125,50,1,-10522.16982421875,-45.0,TIME_STOP,3,0.1451984485993065
SENSEX,MACD Crossover,CE,2026-06-12,2026-06-17,75500,1510.5590625,847.0841250000001,10,1,-6634.749374999999,-43.92247572246119,TIME_STOP,3,2.1550485550776006
NIFTY,MACD Crossover,CE,2026-07-31,2026-08-05,24400,487.6719921875,270.630103515625,50,1,-10852.09443359375,-44.50571124626463,TIME_STOP,3,0.9885775074707217
SENSEX,MACD Crossover,CE,2026-07-31,2026-08-05,78100,1561.8928125,863.904640625,10,1,-6979.881718750001,-44.68860899345486,TIME_STOP,3,0.6227820130902869
BANKNIFTY,MACD Crossover,CE,2026-08-05,2026-08-10,57700,1154.798984375,635.1394414062501,15,1,-7794.893144531248,-44.99999999999999,TIME_STOP,3,-0.09179086701168973
BANKNIFTY,MACD Crossover,CE,2026-08-12,2026-08-17,57900,1157.71703125,636.7443671875001,15,1,-7814.589960937499,-44.99999999999999,TIME_STOP,3,-0.6703724153233148
